title,provider,tags,date_range,description,bands,terms_of_use,snippet,spatial_coverage,temporal_coverage,citation,type,region,source_url,extraction_report,confidence,ml_classification,validation_results,ensemble_features
DEM-H: Australian SRTM Hydrologically Enforced Digital Elevation Model  |  Earth Engine Data Catalog  |  Google for Developers,Geoscience Australia,"['Github', 'Dem', 'Medium', 'Geoscience-Australia', 'Gis Stack Exchange', 'Videos', 'Australia\nDem\nElevation\nElevation-Topography\nGa\nGeophysical\nGeoscience-Australia\nSmoothed\nSrtm', 'Twitter', 'Elevation', 'Srtm', 'Elevation-Topography', 'Smoothed', 'Geophysical', 'Ga', 'Australia']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-H,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Australian', 'coordinates': (-24.7761086, 134.755)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 14, 'text_length': 126}"
Iran Land Cover Map v1 13-class (2017)  |  Earth Engine Data Catalog  |  Google for Developers,K. N. Toosi University of Technology LiDAR Lab,"['Github', 'Iran', 'Landuse-Landcover', 'Gis Stack Exchange', 'Videos', 'Twitter', 'Landcover\nLanduse-Landcover\nIran\nKntu', 'Kntu', 'Landcover', 'Medium']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/KNTU_LiDARLab_IranLandCover_V1,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'GPE': ['Iran', 'Indonesia', 'বাংলা'], 'CARDINAL': ['13'], 'DATE': ['2017'], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      ']}, 'title_entities': [('Iran', 'GPE'), ('13', 'CARDINAL'), ('2017', 'DATE'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': True, 'errors': [], 'enriched': {'temporal_references': ['2017'], 'fuzzy_dates': ['2017-07-15']}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 14, 'text_length': 94}"
"NCEP/NCAR Reanalysis Data, Sea-Level Pressure  |  Earth Engine Data Catalog  |  Google for Developers",NCEP,"['Github', 'Pressure', 'Gis Stack Exchange', 'Videos', 'Reanalysis', 'Twitter', 'Atmosphere', 'Noaa', 'Atmosphere\nClimate\nGeophysical\nNcep\nNoaa\nPressure\nReanalysis', 'Medium', 'Geophysical', 'Climate', 'Ncep']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/NCEP_RE_sea_level_pressure,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['Reanalysis Data', 'Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS']}, 'title_entities': [('NCEP', 'ORG'), ('Reanalysis Data', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 12, 'text_length': 101}"
Datasets tagged skysat in Earth Engine  |  Earth Engine Data Catalog  |  Google for Developers,,"['Github', 'Multispectral', 'Rgb', 'Highres', 'Gis Stack Exchange', 'Skysat', 'Videos', 'Planet', 'Satellite-Imagery', 'Twitter', 'Medium', 'Pansharpened']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/tags/skysat,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9}","{'spacy_entities': {'LOC': ['Earth Engine'], 'ORG': ['Earth Engine Data Catalog', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      Sen']}, 'title_entities': [('Earth Engine', 'LOC'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 80, 'errors': [], 'enriched': {'quality_score': 80}}}","{'tfidf_features': 9, 'text_length': 94}"
Datasets tagged lm5 in Earth Engine  |  Earth Engine Data Catalog  |  Google for Developers,,"['Github', 'Global', 'C2', 'Gis Stack Exchange', 'Videos', 'Twitter', 'Lm5', 'Mss', 'Landsat', 'Medium', 'L5']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/tags/lm5,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9}","{'spacy_entities': {'LOC': ['Earth Engine'], 'ORG': ['Earth Engine Data Catalog', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe', 'Sentin'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      ']}, 'title_entities': [('Earth Engine', 'LOC'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 80, 'errors': [], 'enriched': {'quality_score': 80}}}","{'tfidf_features': 9, 'text_length': 91}"
WAPOR Actual Evapotranspiration and Interception 2.0  |  Earth Engine Data Catalog  |  Google for Developers,FAO UN,"['Github', 'Gis Stack Exchange', 'Videos', 'Fao', 'Water-Vapor', 'Water', 'Wapor', 'Twitter', 'Agriculture', 'Agriculture\nFao\nWapor\nWater\nWater-Vapor', 'Medium']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_AETI_D,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['WAPOR Actual Evapotranspiration and Interception', 'Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS']}, 'title_entities': [('WAPOR Actual Evapotranspiration and Interception', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Interception', 'coordinates': (22.623, 120.28915)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 10, 'text_length': 108}"
"WWF HydroSHEDS Drainage Direction, 3 Arc-Seconds  |  Earth Engine Data Catalog  |  Google for Developers",WWF,"['Github', 'Direction\nDrainage\nFlow\nGeophysical\nHydrography\nHydrology\nHydrosheds\nSrtm\nSurface-Ground-Water\nWater\nWwf', 'Drainage', 'Hydrosheds', 'Surface-Ground-Water', 'Wwf', 'Gis Stack Exchange', 'Videos', 'Water', 'Twitter', 'Direction', 'Srtm', 'Flow', 'Hydrography', 'Hydrology', 'Medium', 'Geophysical']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_03DIR,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'CARDINAL': ['3'], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS']}, 'title_entities': [('WWF HydroSHEDS Drainage Direction', 'ORG'), ('3', 'CARDINAL'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 12, 'text_length': 104}"
Landsat Image Mosaic of Antarctica (LIMA) - Processed Landsat Scenes (16 bit) Metadata  |  Earth Engine Data Catalog  |  Google for Developers,USGS,"['Github', 'Antarctica\nIce\nLandsat-Derived\nLima\nMosaic\nSatellite-Imagery\nSr\nTable\nUsgs', 'Sr', 'Ice', 'Gis Stack Exchange', 'Videos', 'Lima', 'Antarctica', 'Twitter', 'Satellite-Imagery', 'Usgs', 'Mosaic', 'Medium', 'Landsat-Derived', 'Table']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/USGS_LIMA_SR_METADATA,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'PERSON': ['Landsat Image Mosaic', 'Landsat Scenes', 'Metadata'], 'GPE': ['LIMA', 'Indonesia', 'বাংলা'], 'CARDINAL': ['16'], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('Landsat Image Mosaic', 'PERSON'), ('LIMA', 'GPE'), ('Landsat Scenes', 'PERSON'), ('16', 'CARDINAL'), ('Metadata', 'PERSON'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Antarctica', 'coordinates': (-72.8438691, 0.0)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 16, 'text_length': 142}"
Datasets tagged mod44w in Earth Engine  |  Earth Engine Data Catalog  |  Google for Developers,,"['Github', 'Surface-Ground-Water', 'Modis', 'Nasa', 'Gis Stack Exchange', 'Videos', 'Water-Mask', 'Twitter', 'Srtm', 'Mod44W', 'Medium', 'Geophysical']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/tags/mod44w,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9}","{'spacy_entities': {'LOC': ['Earth Engine'], 'ORG': ['Earth Engine Data Catalog', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      Sen']}, 'title_entities': [('Earth Engine', 'LOC'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 80, 'errors': [], 'enriched': {'quality_score': 80}}}","{'tfidf_features': 9, 'text_length': 94}"
ERA5-Land Monthly Aggregated - ECMWF Climate Reanalysis  |  Earth Engine Data Catalog  |  Google for Developers,Monthly Aggregates: Google and Copernicus Climate Data Store,"['Copernicus', 'Pressure', 'Runoff', 'Cds', 'Twitter', 'Ecmwf', 'Videos', 'Evaporation', 'Era5-Land', 'Climate', 'Temperature', 'Medium', 'Radiation', 'Gis Stack Exchange', 'Wind', 'Reanalysis', 'Lakes', 'Vegetation', 'Cds\nClimate\nCopernicus\nEcmwf\nEra5-Land\nEvaporation\nHeat\nLakes\nPrecipitation\nPressure\nRadiation\nReanalysis\nRunoff\nSnow\nSoil-Water\nTemperature\nVegetation\nWind', 'Github', 'Precipitation', 'Heat', 'Soil-Water', 'Snow']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_LAND_MONTHLY_AGGR,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'PERSON': ['ERA5-Land', 'Landsat\n   \n\n\n\n\n\n\n\n      MODIS'], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('ERA5-Land Monthly Aggregated - ECMWF Climate Reanalysis', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 13, 'text_length': 111}"
Datasets tagged oregonstate in Earth Engine  |  Earth Engine Data Catalog  |  Google for Developers,,"['Github', 'Pressure', 'Oregonstate', 'Monthly', 'Gis Stack Exchange', 'Videos', 'Precipitation', 'Twitter', 'Daily', 'Prism', 'Medium', 'Geophysical', 'Climate']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/tags/oregonstate,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9}","{'spacy_entities': {'LOC': ['Earth Engine'], 'ORG': ['Earth Engine Data Catalog', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS']}, 'title_entities': [('Earth Engine', 'LOC'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 80, 'errors': [], 'enriched': {'quality_score': 80}}}","{'tfidf_features': 9, 'text_length': 99}"
WHRC Pantropical National Level Carbon Stock Dataset  |  Earth Engine Data Catalog  |  Google for Developers,WHRC,"['Carbon', 'Github', 'Forest-Biomass', 'Whrc', 'Biomass', 'Gis Stack Exchange', 'Aboveground', 'Videos', 'Tropical', 'Twitter', 'Aboveground\nBiomass\nCarbon\nForest-Biomass\nGeophysical\nUmd\nPantropical\nTropical\nWhrc', 'Medium', 'Geophysical', 'Umd', 'Pantropical']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/WHRC_biomass_tropical,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['WHRC Pantropical National Level Carbon Stock Dataset', 'Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('WHRC Pantropical National Level Carbon Stock Dataset', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 13, 'text_length': 108}"
